NAME,TYPE,LOCATION
"KIB2-W10DEV-21-nic","Network Interface","South Central US"
"KIB2-W10DEV-21_OsDisk_1_3d750a8ff14844a99083a5ef6d1b8cae","Disk","South Central US"
"KIB2-W10DEV-22","Virtual machine","South Central US"
"KIB2-W10DEV-22-nic","Network Interface","South Central US"
"KIB2-W10DEV-22_OsDisk_1_2b0585a8609d4aac94749084431f06d6","Disk","South Central US"
"KIB2-W10DEV-24","Virtual machine","South Central US"
"KIB2-W10DEV-24-nic","Network Interface","South Central US"
"KIB2-W10DEV-24_OsDisk_1_f4207af1c990419691496fec6f73ad8a","Disk","South Central US"
"KIB2-W10DEV-25","Virtual machine","South Central US"
"KIB2-W10DEV-25-nic","Network Interface","South Central US"
"KIB2-W10DEV-25_OsDisk_1_be10a4000cb94ac3ae03e453ca1cf744","Disk","South Central US"
"KIB2-W10DEV-26","Virtual machine","South Central US"
"KIB2-W10DEV-26-nic","Network Interface","South Central US"
"KIB2-W10DEV-26_OsDisk_1_3f70d124d6654e4ea50f43e1440d9ba8","Disk","South Central US"
"KIB2-W10DEV-29","Virtual machine","South Central US"
"kib2-w10dev-29","SQL virtual machine","South Central US"
"KIB2-W10DEV-29-nic","Network Interface","South Central US"
"KIB2-W10DEV-29_OsDisk_1_d4835c9bab064a0681c447f6d1ee3467","Disk","South Central US"
"KIB2-W10DEV-2_disk1_9374484c920b440c8c717f360bf49830","Disk","South Central US"
"KIB2-W10DEV-3","Virtual machine","South Central US"
"KIB2-W10DEV-3-nic","Network Interface","South Central US"
"KIB2-W10DEV-30","Virtual machine","South Central US"
"KIB2-W10DEV-30-nic","Network Interface","South Central US"
"KIB2-W10DEV-30_OsDisk_1_6251cc3d6b6c4b0da620c73e5ed7416e","Disk","South Central US"
"KIB2-W10DEV-31","Virtual machine","South Central US"
"KIB2-W10DEV-31-nic","Network Interface","South Central US"
"KIB2-W10DEV-31_OsDisk_1_42af842a16894efcb07c81edaacf7ff8","Disk","South Central US"
"KIB2-W10DEV-32","Virtual machine","South Central US"
"KIB2-W10DEV-32-nic","Network Interface","South Central US"
"KIB2-W10DEV-32_OsDisk_1_57547f347a5847f6a8ba80171f965c20","Disk","South Central US"
"KIB2-W10DEV-33","Virtual machine","South Central US"
"KIB2-W10DEV-33-nic","Network Interface","South Central US"
"KIB2-W10DEV-33_OsDisk_1_2c00d3d517374c2a8bda3ad0be63c5ce","Disk","South Central US"
"KIB2-W10DEV-34","Virtual machine","South Central US"
"kib2-w10dev-34","SQL virtual machine","South Central US"
"KIB2-W10DEV-34-nic","Network Interface","South Central US"
"KIB2-W10DEV-34_OsDisk_1_a848645f31d34983b420941d0d28e298","Disk","South Central US"
"KIB2-W10DEV-3_disk1_2ab62bf52f4e472384df7f5fa4fb041c","Disk","South Central US"
